attribute,value,laptop,tablet
faculty,2,0.519873304,0.359397913
faculty,4,0.040010558,0.026158026
faculty,3,0.139981963,0.196045027
faculty,5,0.013351517,0.013089796
faculty,10,2.20E-05,0.00655568
faculty,6,0.060004839,0.16337445
faculty,1,0.126652443,0.196045027
faculty,7,0.026681037,0.026158026
faculty,0,0.040010558,2.16E-05
faculty,8,0.020016277,0.013089796
faculty,11,0.006686756,2.16E-05
faculty,9,0.006686756,2.16E-05
freaquency,1,0.353316467,0.248360797
freaquency,0,0.306654933,0.07190924
freaquency,3,0.146672533,0.013092054
freaquency,2,0.193334067,0.66661634
gender,1,0.47331368,0.254901538
gender,2,0.47997976,0.673166102
gender,0,0.04668456,0.071910791
price,6,0.226648775,0.071904587
price,2,0.239979762,0.124183147
price,4,0.026683972,0.032695667
price,1,0.199986801,0.398645588
price,3,0.133331867,0.150322428
price,0,0.173324827,0.215670628
price,5,2.20E-05,0.006556387
purpose1,5,0.15999384,0.019626027
purpose1,6,0.15999384,0.045765307
purpose1,0,0.593250913,0.82994371
purpose1,1,0.026683972,2.16E-05
purpose1,3,0.046680452,0.065369767
purpose1,4,0.013352985,0.026160847
purpose1,2,2.20E-05,0.013091207
purpose2,0,0.253305176,0.137249827
purpose2,7,0.146659627,0.18952726
purpose2,4,0.219978442,0.483587819
purpose2,1,0.060010119,0.04576432
purpose2,6,0.206647749,0.013090925
purpose2,3,0.046679425,0.078437716
purpose2,5,0.066675466,0.04576432
purpose2,2,2.20E-05,0.006556246
purpose3,0,0.159990321,0.039229641
purpose3,7,0.246639829,0.365963596
purpose3,4,0.199982402,0.287547447
purpose3,1,0.106667547,0.111111111
purpose3,6,0.139994281,0.04576432
purpose3,3,0.046679425,0.124180469
purpose3,5,0.086671506,0.026160283
purpose3,2,0.013352691,2.16E-05
